categorie,name,unitTogramme,energieKcal,energieKj,eau,proteines,glucides,sucres,lipides,agSature,fibres,sel,sodium,calcium,fer,vitamineD,vitamineC,vegan,glutenFree,pregnantPermission,Code CIQUAL,Emballage,EF(mPt/kg),ChangementClimatique(kgCO2eq/kg),AppauvrissementCoucheOzone(E-06kgCVC11eq/kg),RayonnementsIonisants(kBqU-235eq/kg),FormationPhotochimiqueOzone(E-03kgNMVOCeq/kg),Particules (E-06 disease inc./kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation terreste (mol N eq/kg),Eutrophisation eaux douces (E-03 kg P eq/kg),Eutrophisation marine (E-03 kg N eq/kg),Utilisation du sol (Pt/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (E-06 kg Sb eq/kg)
LEGUMES,Chicorée rouge crue,200,13,54.392,94,1.4,1.6,1.6,0.1,0.02,3,0.018,7,36,0.3,0,10,TRUE,TRUE,TRUE,20162,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Chicorée verte crue,200,14.5,60.668,91.2,1.9,0.5,0.5,0.5,0.12,1,0.041,16.5,82.5,4.15,0,46,TRUE,TRUE,TRUE,20163,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Aubergine cuite,225,33.8,141.4192,91,1.31,3.83,3.4,0.3,0.01,1.9,0.013,5,13,0.59,0,0.5,TRUE,TRUE,TRUE,20002,PP,0.62961032,6.7233047,0.3079127499999999,0.9118852,25.908406,0.41377905,0.032757433,0.03815913,2.1006217,5.2430141,24.360592,240.7388,1.9570307,73.577683,4.3324032
LEGUMES,Tomate coeur de boeuf,250,19.8,82.8432,94.4,0.5,3.23,2.8,0.5,0.01,0.9,0.013,5,7.2,0.14,0,11.7,TRUE,TRUE,TRUE,20192,,,,,,,,,,,,,,,,
LEGUMES,Avocat,300,205,857.72,70.3,1.56,0.83,0.4,20.6,4.51,3.6,0.015,6,9.4,0.34,0,0.5,TRUE,TRUE,TRUE,13004,Pas d'emballage,0.54613152,2.7496498,0.24884828,0.48520808,9.3624179,0.1131706,0.016539347,0.045093612,0.72056429,13.293673,124.81704,113.16115,34.405669,31.707032,8.5055715
LEGUMES,Salade crue,300,15,62.76,92.9,1.48,2.4,0.7,0.25,0.061,2.45,0.084,33.5,76,0.85,0,18.5,TRUE,TRUE,TRUE,25604,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Courgette crue,300,16.5,69.036,94.7,1.23,1.8,1.79,0.26,0.061,01.05,0.023,9,18.7,0.36,0,17.5,TRUE,TRUE,TRUE,20021,PP,0.11655738,0.99404562,0.17508477,0.77876646,3.7050105,0.036054716,0.0044787219,0.014282793,0.15356132,2.5349611000000003,11.293746,18.408403,0.79083276,28.318928,3.279114
LEGUMES,Laitue crue,300,15,62.76,95.3,1.3,1.33,0.73,0.2,0.021,1.2,0.021,8.47,64.6,0.98,0,11.8,TRUE,TRUE,TRUE,20031,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Batavia crue,300,17.9,74.8936,95.6,1.25,1.78,1.1,0.5,0.01,2.1,0.015,6,26,0.39,0,4.38,TRUE,TRUE,TRUE,20123,,,,,,,,,,,,,,,,
LEGUMES,Laitue romaine crue,300,17.4,72.8016,94.6,1.24,1.2,1.19,0.3,0.04,2.1,0.02,8,33,0.97,0,14,TRUE,TRUE,TRUE,20171,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Laitue iceberg crue,300,16,66.944,95.6,01.01,2.45,1.48,0.18,0.023,1.15,0.024,9.48,17.4,0.43,0,4.72,TRUE,TRUE,TRUE,20200,Pas d'emballage,0.092738505,0.85956983,0.1214007,0.47037634,2.5255402,0.033598214,0.0034245214,0.010827793,0.15424348,2.9404738000000004,11.702222,21.090814,0.90856331,16.86156,2.3357584
LEGUMES,Salade sucrine crue,300,17.9,74.8936,94.8,1.13,2.58,1.78,0.3,0.01,0.8,0.013,5,23,0.27,0,2.32,TRUE,TRUE,TRUE,20288,,,,,,,,,,,,,,,,
LEGUMES,Salade feuille de chêne crue,300,14.3,59.8312,95.8,1.13,01.03,0.6,0.5,0.01,1.8,0.023,9,33,0.82,0,2.16,TRUE,TRUE,TRUE,20295,,,,,,,,,,,,,,,,
LEGUMES,Artichaut cuit,300,47.3,197.9032,81.4,2.63,3.24,1.9,0.3,0.01,10.9,0.068,27,42,0.7,0,0.5,TRUE,TRUE,TRUE,20000,PP,0.70740273,3.0110021,0.49239845,1.2315646,13.201063,0.13055842,0.022446412,0.085064565,0.74740069,12.478965,8.599731,323.85347,35.326173,56.801316,14.447272
LEGUMES,Courgette cuit,300,23,96.232,93.1,1.5,3.13,2.7,0.3,0.01,1.7,0.013,5,24,0.4,0,0.5,TRUE,TRUE,TRUE,20313,,,,,,,,,,,,,,,,
LEGUMES,Concombre cru,500,15.6,65.2704,96,0.64,2.54,1.67,0.11,0.035,0.6,0.012,4.8,19.2,0.13,0,8.25,TRUE,TRUE,TRUE,20210,Pas d'emballage,0.42793369,4.8565886,0.18032354,0.3122822,19.522451,0.31240681,0.023462854,0.024087052,1.4996778000000002,2.8045424,17.348605,159.09401,1.1742707,42.66575,1.7534368
LEGUMES,Chou rouge cru,700,30,125.52,90.7,1.13,4.33,3.9,0.5,0.01,2.8,0.035,14,36,0.25,0,18.7,TRUE,TRUE,TRUE,20014,Pas d'emballage,0.1217965,1.0577395,0.12784953,0.41038914,2.8087069,0.074868976,0.0085974023,0.039741176,0.13642152,6.3431683,44.775621,15.722526,0.32090883,14.652201,2.0706317
LEGUMES,Chou vert cru,700,29,121.336,91.8,2.53,1.92,1.92,0.41,0.054,03.08,0.065,25.8,96.2,0.93,0,69,TRUE,TRUE,TRUE,20069,Pas d'emballage,0.1217965,1.0577395,0.12784953,0.41038914,2.8087069,0.074868976,0.0085974023,0.039741176,0.13642152,6.3431683,44.775621,15.722526,0.32090884,14.652201,2.0706317
LEGUMES,Chou blanc cru,700,36.5,152.716,90,1.38,4.63,4.2,0.6,0.27,3.5,0.033,13,59,0.3,0,8.88,TRUE,TRUE,TRUE,20116,Pas d'emballage,0.1217965,1.0577395,0.12784953,0.41038914,2.8087069,0.074868976,0.0085974023,0.039741176,0.13642152,6.3431683,44.775621,15.722526,0.32090883,14.652201,2.0706317
LEGUMES,Chou rouge cuit,700,23,96.232,90.8,1.51,3.32,3.32,0.09,0.011,2.6,0.07,28,54.6,0.66,0,34.4,TRUE,TRUE,TRUE,20014,Pas d'emballage,0.1217965,1.0577395,0.12784953,0.41038914,2.8087069,0.074868976,0.0085974023,0.039741176,0.13642152,6.3431683,44.775621,15.722526,0.32090883,14.652201,2.0706317
LEGUMES,Chou blanc cuit,700,23.5,98.324,92.9,1,3.23,2.8,0.3,0.01,2.7,0.018,7,42,0.19,0,13.3,TRUE,TRUE,TRUE,20116,Pas d'emballage,0.1217965,1.0577395,0.12784953,0.41038914,2.8087069,0.074868976,0.0085974023,0.039741176,0.13642152,6.3431683,44.775621,15.722526,0.32090883,14.652201,2.0706317
LEGUMES,Chou-fleur cru,850,26.2,109.6208,92.9,1.81,2.13,1.7,0.7,0.24,2.2,0.015,6,23,0.27,0,4.14,TRUE,TRUE,TRUE,20016,Pas d'emballage,0.0715242119999999,0.50990048,0.082389101,0.30009188,1.6301798,0.04578424,0.0052767442,0.024329215,0.066515568,3.7899156,27.652331,7.4245749,0.21565508,10.004572,1.3137865999999998
LEGUMES,Chou frisé cuit,900,20,83.68,91.2,1.9,3.63,1.25,0.4,0.052,2,0.058,23,72,0.9,0,41,TRUE,TRUE,TRUE,20219,PP,0.17636362,1.4616856,0.22380886,1.1389162,3.9862627,0.081732757,0.0095102066,0.039778251,0.19672718,5.9564021,40.094704,17.788013,0.48127845,37.467291,3.1423145
LEGUMES,Chou vert cuit,900,21.6,90.3744,92.7,1.63,1.83,1.4,0.3,0.01,3.3,0.013,5,48,0.34,0,12,TRUE,TRUE,TRUE,20015,PP,0.23008905,2.0557422,0.28032022,1.314434,5.366746200000001,0.10839858,0.01259481,0.053043838,0.26974654,8.050372300000001,53.420661,25.184426,0.58653066,45.52456,4.0121448
LEGUMES,Chou chinois cru,1000,12,50.208,95.2,1.38,1.65,1.18,0.2,0.031,01.05,0.13,51,86.4,0.68,0,40.3,TRUE,TRUE,TRUE,20167,Pas d'emballage,0.1217965,1.0577395,0.12784953,0.41038914,2.8087069,0.074868976,0.0085974023,0.039741176,0.13642152,6.3431683,44.775621,15.722526,0.32090884,14.652201,2.0706317
LEGUMES,Chou chinois cuit,1000,18,75.312,95.4,1.53,0.75,0.75,0.17,0.029,1.35,0.054,21.5,62.5,0.67,0,20.9,TRUE,TRUE,TRUE,20221,PP,0.23008905,2.0557422,0.28032022,1.314434,5.366746200000001,0.10839858,0.01259481,0.053043838,0.26974654,8.050372300000001,53.420661,25.184426,0.58653066,45.52456,4.0121448
LEGUMES,Butternut cuite,1800,37,154.808,87.8,1.23,0,0,0.07,0.014,0,0.005,2,19,0.58,0,3.5,TRUE,TRUE,TRUE,20141,,,,,,,,,,,,,,,,
LEGUMES,Potimarron cuit,2000,38.2,159.8288,88.9,01.06,6.88,3.5,0.3,0.08,1.8,0.013,5,18,0.19,0,8.65,TRUE,TRUE,TRUE,20331,,,,,,,,,,,,,,,,
LEGUMES,Potiron cuit,2000,30.2,126.3568,90.7,0.5,5.66,4.8,0.3,0.01,2,0.013,5,31,0.11,0,0.5,TRUE,TRUE,TRUE,20096,PP,0.18691977,1.2681186,0.20975925,1.0183763,3.7919782,0.051613686,0.0054945334,0.01858599,0.21108431,2.7969735,8.884499,49.472355,4.1834362,36.13693,5.7377557
LEGUMES,Courge spaghetti cuite,3000,25,104.6,92.3,0.66,05.06,2.53,0.26,0.062,1.4,0.045,18,21,0.34,0,3.5,TRUE,TRUE,TRUE,20143,PP,0.18691977,1.2681186,0.20975925,1.0183763,3.7919782,0.051613686,0.0054945334,0.01858599,0.21108431,2.7969735,8.884499,49.472355,4.1834362,36.13693,5.7377557
LEGUMES,Carotte crue,null,40.2,168.1968,88.1,0.63,7.59,6,0.5,0.01,2.7,0.11,43,25,0.24,0,02.05,TRUE,TRUE,TRUE,20009,Pas d'emballage,0.070883164,0.38690672,0.067809909,0.20495043,1.0245043,0.021407029,0.0020615439,0.0058527856,0.077705822,1.4445192999999998,10.617771,33.199728,2.2822357,7.7687745,2.6475155
LEGUMES,Champignon,null,21.7,90.7928,92.6,2.37,1.88,1.43,0.23,0.055,1.72,0.012,4.76,7.78,0.69,0.2,3.4,TRUE,TRUE,TRUE,20010,,,,,,,,,,,,,,,,
