categorie,name,unitTogramme,energieKcal,energieKj,eau,proteines,glucides,sucres,lipides,agSature,fibres,sel,sodium,calcium,fer,vitamineD,vitamineC,vegan,glutenFree,pregnantPermission,Code CIQUAL,Emballage,EF(mPt/kg),ChangementClimatique(kgCO2eq/kg),AppauvrissementCoucheOzone(E-06kgCVC11eq/kg),RayonnementsIonisants(kBqU-235eq/kg),FormationPhotochimiqueOzone(E-03kgNMVOCeq/kg),Particules (E-06 disease inc./kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation terreste (mol N eq/kg),Eutrophisation eaux douces (E-03 kg P eq/kg),Eutrophisation marine (E-03 kg N eq/kg),Utilisation du sol (Pt/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (E-06 kg Sb eq/kg)
LEGUMES,Rosé des prés,null,25.3,105.8552,92.1,2.3,2.45,1,0.4,0.1,1.7,0.013,5,10,1.2,0,4,TRUE,TRUE,TRUE,20161,,,,,,,,,,,,,,,,
LEGUMES,Tomate cerise,null,33.7,141.0008,90.1,1.31,5.62,4.8,0.5,0.01,1.2,0.013,5,6.6,0.37,0,21.8,TRUE,TRUE,TRUE,20172,Pas d'emballage,0.074929417,0.50934855,0.086032115,0.27874638,1.1747632,0.026071685,0.0024589976,0.0084079888,0.089242501,0.61557037,-7.7355736,20.964933,1.9877285,11.383337,4.8606861
LEGUMES,Haricot mungo germé,null,30,125.52,91.7,2.57,3.4,3.4,0.5,0.0002,1.7,0.043,17.1,16,0.44,0.5,4.13,TRUE,TRUE,TRUE,20530,LPDE,0.12155779,0.65819575,0.087359829,0.14698099,3.1724899,0.05087651,0.0082465184,0.028237419,0.1385313,2.7927825,74.888832,8.2570814,5.574774,11.718103,0.99896947
LEGUMES,Bambou,null,35.1,146.8584,89.8,2.52,05.08,3,0.2,0.053,1.45,0.01,4,15.5,0.4,0,7.5,TRUE,TRUE,TRUE,20198,Pas d'emballage,0.27486579,1.3746561,0.19894214,0.42284414,5.5630127,0.14805493,0.019852735,0.079781472,0.33601206,12.288474,177.90446,120.14149,3.4948752,19.944822,5.8674817
LEGUMES,Cresson cru,null,21,87.864,91.1,2.55,2.2,2.2,0.6,0.047,1.35,0.096,38.5,75.5,1.8,0,52,TRUE,TRUE,TRUE,20199,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Brocoli cru,null,29,121.336,91.5,2.79,1.56,1.24,0.44,0.097,2.77,0.05,21.4,48.5,0.77,0,62.3,TRUE,TRUE,TRUE,20057,Pas d'emballage,0.082753501,0.67898428,0.093839919,0.30167631,2.4461136,0.033101525,0.0040645251,0.01400886,0.11938441,4.955335,8.8309925,17.059999,0.99793807,12.319274,2.4121266
LEGUMES,Roquette crue,null,25,104.6,91.7,2.58,2.1,02.05,0.66,0.086,1.6,0.068,27,160,1.46,0,15,TRUE,TRUE,TRUE,20217,Pas d'emballage,0.13365828,0.88251448,0.1213937099999999,0.52314368,2.2907622,0.059463531,0.0045302787,0.024454348,0.14641402,1.7294913,-2.1872517,21.60564,3.4732102,18.125987,6.1966855
LEGUMES,Épinard cru,null,18.3,76.5672,93.7,02.06,0.85,0,0.4,0.09,2.4,0.063,25,110,1.8,0.25,06.04,TRUE,TRUE,TRUE,20059,Pas d'emballage,0.049377425,0.32605361,0.065867696,0.28683,0.84392808,0.018472041,0.0016697342,0.0049228402,0.058591322,1.8070966,-17.325612,26.191539,0.39298158,8.9748633,1.3983854999999998
LEGUMES,Mesclun,null,14,58.576,0,2,2.5,0,0,0,2,0.048,19,0,0,0,0,TRUE,TRUE,TRUE,20272,Pas d'emballage,0.17187305,1.1144112,0.20475401,1.0896212,3.0491302,0.067275344,0.0055035169,0.027528063,0.19269977,2.0313386,-1.6712651,25.588777,3.5126186,31.034066,7.2956518
LEGUMES,Chou romanesco cru,null,28.2,117.9888,89.8,2.93,2.2,2.2,0.4,0.047,2.35,0.039,15.5,34.5,0.92,0,70.6,TRUE,TRUE,TRUE,20280,Pas d'emballage,0.090309186,0.70288442,0.10045221,0.36402962,2.0456487,0.0559923669999999,0.0064420706,0.029681754,0.092417136,4.6743616,33.566841,10.428704,0.2651875,12.17498,1.5984065
LEGUMES,Betterave rouge cuite,null,42.8,179.0752,88.3,1.44,7.13,6.7,0.4,0.15,2.5,0.23,90,24,0.29,0,0.5,TRUE,TRUE,TRUE,20003,LPDE,0.12053066,0.87170436,0.13879161,0.5734894,2.4761845,0.035942382,0.0039251682,0.010275018,0.15463541,1.7636663,12.060571,34.742127,2.5127636,23.368399,3.4998771
LEGUMES,Blette cuite,null,14.7,61.5048,95.3,0.7,1.23,0.8,0.5,0.01,2.5,0.25,99.6,56,0.35,0.25,0.5,TRUE,TRUE,TRUE,20005,PP,0.14499591,1.2012931,0.20040869,1.1201327,2.872651,0.043048981,0.0044013991,0.012291931,0.18550364,3.1480261,-23.610041,44.368701,0.73243576,36.008857,3.2621365
LEGUMES,Carotte cuite,null,18.9,79.0776,93,0.55,2.6,1.3,0.1,0.019,2.8,0.051,20.2,31.5,0.1,0,1,TRUE,TRUE,TRUE,20008,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Chou de Bruxelles cuit,null,41,171.544,87.6,2.6,4.2,1.7,0.11,0.023,3.2,0.024,9.7,36.2,0.1,0,56.4,TRUE,TRUE,TRUE,20013,PP,0.13687553,1.1119386,0.17576044,0.83599932,3.1968869,0.06628326,0.0077332955,0.032497939,0.14441418,4.8207799,32.982846,12.787698,0.37140777,28.771829,2.4963078
LEGUMES,Chou-fleur cuit,null,20.9,87.4456,93.7,1.6,1.6,1.59,0.46,0.097,2,0.017,39,19.2,0.31,0,9.7,TRUE,TRUE,TRUE,20017,PP,0.14295159,1.1321591,0.18567193,0.94985571,3.2312408,0.0670558669999999,0.0078171383,0.03266314,0.15193925,4.8395199,33.039833,13.388498,0.40088446,31.182189,2.5982933
LEGUMES,Coeur de palmier,null,33,138.072,90.2,2.45,04.03,1.5,0.5,0.13,2.32,0.81,316,58,3.13,0,7.9,TRUE,TRUE,TRUE,20018,Acier,0.4418325899999999,2.2905955,0.39288835,2.013839,8.9887532,0.21718571,0.026490848,0.10171413,0.65347018,15.146647,210.54378,161.50735,4.5367752,59.312235,7.7071189
LEGUMES,Céleri-rave cuit,null,37,154.808,90.1,1.3,4.6,2.8,0.86,0,2.6,0.15,58.2,52.4,0.32,0,2.7,TRUE,TRUE,TRUE,20025,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Maïs doux,null,106,443.504,75.4,2.82,18.4,5.16,1.68,0.26,3.1,0.59,236,3.51,0.35,0,3.55,TRUE,TRUE,TRUE,20233,LPDE,0.17594853,0.81064266,0.14052934,0.67837429,3.1365662,0.0553757769999999,0.0074569556,0.028274998,0.34795811,6.4945784,115.23282,19.233688,5.3669442,23.530322,2.0750254
LEGUMES,Concentré de tomate,null,99.2,415.0528,72,4.4,17.1,13.3,0.53,0.093,4.2,0.27,108,45.6,1.2,0,2.6,TRUE,TRUE,TRUE,20068,Acier,0.11816132,0.63060108,0.16096224,1.143965,2.305532,0.043454798,0.0035304833,0.0097226758,0.19976624,0.7591209800000001,-3.3036804,23.24444,1.5240872,30.354366,3.6417843
LEGUMES,Céleri branche,null,13.1,54.8104,95,0.63,1.38,0.8,0.15,0.1,2,0.54,213,29.2,0,0,0,TRUE,TRUE,TRUE,20023,Pas d'emballage,0.079864126,0.66122856,0.079116299,0.24257182,2.0729414000000004,0.032660292,0.0037897184,0.010019928,0.22866065,2.6122493,9.7562151,30.105683,0.5689089,11.929387,2.1570655
LEGUMES,Champignon de Paris,null,19.4,81.1696,92.9,2.23,0.7,0,0.37,0.065,2.5,0.63,251,22.2,0.9,0,6.5,TRUE,TRUE,TRUE,20079,,,,,,,,,,,,,,,,
LEGUMES,Chou-rave cuit,null,27,112.968,90.3,1.8,4.4,2.8,0.11,0.014,1.1,0.053,21,25,0.4,0,54,TRUE,TRUE,TRUE,20065,Pas d'emballage,0.070883164,0.38690672,0.067809909,0.20495043,1.0245043,0.021407029,0.0020615439,0.0058527856,0.077705822,1.4445192999999998,10.617771,33.199728,2.2822357,7.7687745,2.6475155
LEGUMES,Panais cuit,null,67.8,283.6752,80.2,1.32,13.4,4.8,0.3,0.05,3.6,0.025,10,37,0.58,0,13,TRUE,TRUE,TRUE,20133,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Rutabaga cuit,null,34,142.256,91.5,0.93,4.26,3.95,0.18,0.029,1.8,0.013,5,18,0.18,0,18.8,TRUE,TRUE,TRUE,20165,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Pois mange-tout cuit,null,30.5,127.612,90.9,2.25,3.39,2.3,0.3,0.08,2.8,0.013,5,35,0.46,0.25,20.6,TRUE,TRUE,TRUE,20243,PP,0.19931675,1.2776968,0.21743691,0.64777808,4.3872352,0.050515084,0.0066104475,0.023168476,0.57052764,16.386646000000002,231.06553,53.916684,1.4789237,27.628817,2.7999448
LEGUMES,Cardon cuit,null,21.6,5.6,93.5,0.76,3.63,0,0.11,0.012,1.7,0.44,176,72,0.73,0,1.7,TRUE,TRUE,TRUE,20241,PP,0.1689964,1.4371682,0.21179118,1.0008653,3.9446087,0.080795971,0.0094085471,0.039577945,0.18760304,5.93368,40.025606,17.059544,0.44553795,34.544729,3.018657
LEGUMES,Coulis de tomate,null,25,104.6,88.2,02.05,8.53,5.5,0.2,0.08,2.6,0.88,350,0,0,0,0,TRUE,TRUE,TRUE,20260,Acier,0.12217375,0.63852785,0.16779741,1.2229786,2.3288489,0.043986992,0.0035879497,0.0098358133,0.20494409,0.7720024600000001,-3.2645015,23.658704,1.5402026,32.020937,3.7123322
LEGUMES,Double concentré de tomate,null,92.8,388.2752,74.3,3.73,17,16.5,0.29,0,3.62,0.93,329,0,0,0,0,TRUE,TRUE,TRUE,20268,Acier,0.11816132,0.63060108,0.16096224,1.143965,2.305532,0.043454798,0.0035304833,0.0097226758,0.19976624,0.7591209800000001,-3.3036804,23.24444,1.5240872,30.354366,3.6417843
LEGUMES,Asperge blanche cuit,null,18.6,77.8224,94.9,1.44,1.63,1.2,0.3,0.1,1.3,0.013,5,15,0.26,0,5.16,TRUE,TRUE,TRUE,20277,,,,,,,,,,,,,,,,
LEGUMES,Chou romanesco cuit,null,35.8,149.7872,91.5,3,02.03,1.6,0.8,0.27,4.3,0.013,5,32,0.53,0.25,15.1,TRUE,TRUE,TRUE,20290,,,,,,,,,,,,,,,,
LEGUMES,Courge musquée cuite,null,30.7,128.4488,90.9,01.06,5.24,4,0.5,0.01,1.8,0.013,5,17,0.15,0.25,2.28,TRUE,TRUE,TRUE,20292,,,,,,,,,,,,,,,,
LEGUMES,Asperge verte cuite,null,26.6,111.2944,92.7,2.69,1.73,1.3,0.3,0.07,2.2,0.013,5,21,0.64,0,4.73,TRUE,TRUE,TRUE,20279,Pas d'emballage,0.27603921,1.3880947,0.20193796,0.42387615,5.6296447,0.14881825,0.019956546,0.080005473,0.33723801,12.308517,178.02062,120.28324,3.4962397,20.147279,5.9001679
LEGUMES,Bette cuite,null,16.9,70.7096,95.2,0.88,1.43,1,0.3,0.1,2.5,0.19,77,60,0.52,0,0.5,TRUE,TRUE,TRUE,20005,PP,0.14499591,1.2012931,0.20040869,1.1201327,2.872651,0.043048981,0.0044013991,0.012291931,0.18550364,3.1480261,-23.610041,44.368701,0.73243576,36.008857,3.2621365
LEGUMES,Brocoli cuit,null,23.5,98.324,92.9,2.5,1.23,0.8,0.4,0.1,2.6,0.043,17,42,0.41,0,22.7,TRUE,TRUE,TRUE,20006,PP,0.15606883,1.3296707,0.19904796,0.95170653,4.1843559,0.052240833,0.0064011112,0.020607645,0.21369683,6.2008789,11.0541,24.643907,1.3146911,33.886057,3.881295
LEGUMES,Céleri rave cuit,null,26.2,109.6208,91,0.94,4.32,1.2,0.3,0.09,2.6,0.093,37,41,0.27,0,0.87,TRUE,TRUE,TRUE,20025,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Endive cuite,null,23.5,98.324,93.7,1.13,4.38,3.2,0.3,0.01,0.5,0.013,5,27,0.23,0,0.5,TRUE,TRUE,TRUE,20026,Pas d'emballage,0.11713851,0.79470609,0.2673132099999999,0.86117796,2.1014361,0.036057713,0.0041620802,0.014463014,0.16614599,3.0836736,41.935711,34.935862,0.98006432,23.210854,3.7980705
LEGUMES,Fenouil cuit,null,13.7,57.3208,95.1,0.5,1.94,1.3,0.3,0.01,1.8,0.028,11,37,0.12,0,0.5,TRUE,TRUE,TRUE,20028,Pas d'emballage,0.13066725,0.9716564,0.13234924,0.3182153,3.9013485,0.044815958,0.0062549063,0.01856549,0.17819193,5.2430374,14.418127,61.917588,1.6780621,15.83521,3.2768809
LEGUMES,Haricot beurre cuit,null,34.6,144.7664,89.6,2.19,4.45,2.2,0.3,0.09,2.7,0.013,5,56,0.99,0,7.57,TRUE,TRUE,TRUE,20195,Pas d'emballage,0.13289103,0.47597288,0.092929403,0.34788133,1.3612052,0.054114911,0.0068868627,0.028339063,0.13054976,2.9764902,99.620416,11.171499,7.4259908,10.813419,1.226237
LEGUMES,Haricot vert cuit,null,28,117.152,90.8,1.75,3.39,2.5,0.3,0.01,3.2,0.013,5,51,0.54,0,1.16,TRUE,TRUE,TRUE,20030,PP,0.22610467,1.1966239,0.21502126,1.1200529,3.1867451,0.079539647,0.010029781,0.038209816,0.24127097,3.973071,117.25374,18.655693,8.8460134,35.876813,2.7075728000000003
LEGUMES,Navet cuit,null,21.1,88.2824,94.2,0.75,3.23,2.8,0.3,0.01,2.1,0.025,10,32,0.08,0,7.25,TRUE,TRUE,TRUE,20033,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Petits pois cuit,null,80.3,335.9752,77.4,6.38,9.93,1.6,0.6,0.15,4.8,0.023,9,38,1.2,0,11.4,TRUE,TRUE,TRUE,20037,PP,0.1565971,0.93844673,0.17519034,0.53025431,3.4454274000000003,0.040009698,0.0052583097,0.018370834,0.44465662,13.026038,184.82052,41.670326,1.1876509,22.424101,2.2475946
LEGUMES,Poireau cuit,null,27.4,114.6416,91.6,2.56,2.23,1.8,0.3,0.01,3.4,0.013,5,35,0.45,0,3.79,TRUE,TRUE,TRUE,20040,PP,0.1878593399999999,1.4333995,0.20122538,0.76376104,4.5582723,0.092771536,0.0081550914,0.044383269,0.17139408,3.3841073,17.269269,37.792815,2.3297004,30.065218,3.6439272
LEGUMES,Salsifis cuit,null,57.9,242.2536,82.8,2.63,9.29,2.3,0.3,0.01,4.5,0.02,8,38,0.56,0,0.74,TRUE,TRUE,TRUE,20046,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Épinard cuit,null,28.1,117.5704,91.9,3.38,0.85,0,0.7,0.13,3.5,0.03,12,240,1.3,0,0.5,TRUE,TRUE,TRUE,20027,PP,0.11708131,0.91740245,0.16637282,0.93436414,2.3127981,0.0351517229999999,0.0036036889,0.00999401,0.14268272,2.5233334000000003,-19.500163,35.310714,0.60802451,29.979357,2.6971156
LEGUMES,Crosne,null,50.8,212.5472,85.7,2.13,9.11,0.2,0.5,0.01,1.9,0.013,5,20,0.37,0.25,0,TRUE,TRUE,TRUE,20590,,,,,,,,,,,,,,,,
LEGUMES,Gombo,null,22.4,93.7216,92.6,1.87,02.01,02.01,0.21,0.045,2.5,0.015,6,77,0.28,0,16.3,TRUE,TRUE,TRUE,58103,PP,0.23204009,1.8531564,0.27059983,1.0251368,7.6252447,0.07151719,0.011691122,0.032442358,0.3150644,7.1171726,17.879454,78.508738,2.1395499,41.574874,5.0300892
LEGUMES,Oignon séché,null,358,1497.872,3.93,8.95,75,37.4,0.46,0.078,9.2,0.053,170,257,1.55,0,75,TRUE,TRUE,TRUE,20180,LPDE,1.2178172,2.8647697,1.5180052,15.728492,10.915167,0.16307244,0.021602201,0.057808961,1.2004127999999998,22.917272,180.0152,196.00058,34.030762,346.79035,12.466618
LEGUMES,Tomate séchée,null,202,845.168,14.6,14.2,43.3,37.6,2.99,0.46,12.3,0.62,247,110,09.09,0,39.2,TRUE,TRUE,TRUE,20189,Verre,1.9626245,6.4659658,2.6743597,25.388636,19.929325,0.4381447599999999,0.049459957,0.14941658,1.8609717,10.949174,-125.33747,364.61775,32.241255,590.8759,71.301924
LEGUMES,Tapioca,null,354,1481.136,11,0.19,87.8,3.35,0.02,0.005,0.9,0.0025,1,20,1.58,0,0,TRUE,TRUE,TRUE,4000,Carton,0.1455571899999999,1.0876336,0.19116614,0.45121008,5.1754482,0.0790111149999999,0.01184359,0.038501626,0.25213441,3.7535251,30.702986,39.795416,1.2742789,20.009523,2.6834518
LEGUMES,Pomme de terre,null,91.9,384.5096,75.4,1.96,20.1,1.7,0.1,0.026,1.5,0.0036,1.43,9.48,0.35,0,12.8,TRUE,TRUE,TRUE,4003,PP,0.11593276,0.94561741,0.16262588,0.69454593,2.7600527,0.042155606,0.0046916341,0.015445671,0.14441274,1.9334952,26.725321,21.867652,1.1093836,26.587345,2.4035872
LEGUMES,Chips de pommes de terre,null,545,2280.28,1.4,5.67,51.1,1.59,34.3,3.23,4.57,1.65,652,27,1.2,0.25,8.26,TRUE,TRUE,TRUE,4004,LPDE,0.2920026899999999,2.2443641,0.26154692,0.77991792,7.3702645,0.12758041,0.018638087,0.071623139,0.48321698,19.403128,191.28223,78.813636,1.152872,33.020277,7.1945758
LEGUMES,Pomme de terre dauphine cuite,null,302,1263.568,43.5,4.5,30.2,3.5,17.7,3.39,2,1.32,527,120,0.8,0.25,0,TRUE,FALSE,TRUE,4021,LPDE,0.44621312,3.6820528,0.33860534,1.7747511,8.6016336,0.31796455,0.043016288,0.17688859,0.66824554,12.118545999999998,153.96183,60.614696,3.5965079,56.51693,6.2437231
LEGUMES,Frites de pommes de terres cuites en friteuse,null,285,1192.44,42.5,3.28,39.4,0.69,11.9,2.94,3.9,0.073,29,23.8,0.9,0,19,TRUE,TRUE,TRUE,4032,LPDE,0.231967,1.2629086,0.26019924,1.6316993,4.7228829,0.093723038,0.011975388,0.044055085,0.31482287,5.1749646,60.863971,65.762217,2.4478067,47.956727,4.1102576
LEGUMES,Pomme de terre noisette,null,191,799.144,56.9,2.81,28.5,0.2,6.6,0.94,3.4,0.87,347,27,0.61,0,0,TRUE,FALSE,TRUE,4013,LPDE,0.4141225,4.3990612,0.29825423,1.3450946,8.1015583,0.26377263,0.035725335,0.1459882,0.6169127,12.722115,165.46036,56.831085,2.7904206,45.382788,5.8205998
LEGUMES,Galette de pomme de terre,null,182,761.488,61.4,2.38,22.5,0.2,8.3,01.06,3.3,0.82,328,18,0.55,0.25,0.5,TRUE,FALSE,TRUE,4039,LPDE,0.19045038,1.0295079,0.21148474,1.3659484,3.3615298,0.10169337,0.013557756,0.053232137,0.25086217,4.3387115,46.176105,31.414722,2.0840929,39.099137,2.7801312
LEGUMES,Patate douce,null,62.8,262.7552,78,1.69,12.2,6.11,0.15,0.042,2.9,0.079,31.5,32.5,0.71,0,16.2,TRUE,TRUE,TRUE,4101,Pas d'emballage,0.055834504,0.36252883,0.092053815,0.34384384,1.2891692,0.023007382,0.0025096699,0.0091723763,0.06826583,1.1972061,18.472946,13.945776,0.68455521,10.533802,1.4781147
LEGUMES,Topinambour,null,81.9,342.6696,80.2,1.8,16,9.6,0.7,0,2.2,0.09,35.9,32.9,0.2,0,3.2,TRUE,TRUE,TRUE,20196,Pas d'emballage,0.1126634,0.85581834,0.15268444,0.67070648,2.5787660000000003,0.061049273,0.0070849716,0.031815563,0.11932054,4.8812953,33.894679,12.792435,0.26414738,19.354121,2.3167718
LEGUMES,Manioc,null,132,552.288,65.2,0.69,32,0,0.043,0,0.4,0,0,12.1,0.6,0,13.1,TRUE,TRUE,TRUE,54031,Pas d'emballage,0.12318588,0.92839408,0.16788137,0.43349891,4.6124137,0.06697504,0.011068494,0.036058842,0.1852314099999999,3.4511047,24.478032,21.823348,1.2400775,17.767492,2.3321061000000003
LEGUMINEUSES,Fève,null,82.9,346.8536,77.9,08.06,9.35,0.4,0.8,0.16,3.1,0.025,10,37,1.5,0,0.5,TRUE,TRUE,TRUE,20518,LPDE,0.12224265,0.96901241,0.08042829,0.14880115,3.2494145000000003,0.030886214,0.0038227625,0.011275079,0.27121932,10.42873,151.02004,41.667948,0.31581293,12.388724,2.5042512
LEGUMINEUSES,Haricot blanc,null,112,468.608,66.9,6.75,12,0.3,1.1,0.25,13.8,0.023,9.3,120,1.7,0.25,0.5,TRUE,TRUE,TRUE,20501,LPDE,0.049813615,0.23407208,0.033351109,0.1365591,0.70299959,0.020230803,0.0025510717,0.0096451023,0.05589457,0.98042779,31.891341,3.3855575,2.4026493,5.8848829,0.4545882599999999
LEGUMINEUSES,Haricot rouge,null,116,485.344,65,9.63,12.3,0.5,0.6,0.19,11.6,0.021,8.4,55,2.3,0.25,0.5,TRUE,TRUE,TRUE,20525,LPDE,0.0564760699999999,0.42380393,0.041353092,0.14287553,1.4178885,0.013787825,0.0016981055,0.0049521342,0.12157876,4.488645399999999,64.853399,18.29716,0.1516548,6.9835182,1.1453132
LEGUMINEUSES,Pois cassé,null,81,338.904,64.9,8.6,16.3,3.85,1.49,0.16,7.95,0.011,4.5,24.7,02.09,0,0.85,TRUE,TRUE,TRUE,20515,LPDE,0.13769332,0.89230343,0.11425987,0.19256688,3.1241694,0.037805655,0.0049179707,0.01672654,0.44659293,12.735662,182.49199,40.143868,1.2658992,14.238557,1.5523278
LEGUMINEUSES,Pois chiche,null,147,615.048,62,8.31,17.7,0.3,3,0.46,8.2,0.027,10.9,72,1.3,0.25,0.5,TRUE,TRUE,TRUE,20516,LPDE,0.12461998,0.79102138,0.12202983,0.16866053,4.2891363,0.036108474,0.0069832047,0.020179317,0.36906296,10.734932,146.63168,32.366369,1.0252489,13.628265,1.3751815
LEGUMINEUSES,Haricot flageolet,null,112,468.608,66.9,6.75,12,0.3,1.1,0.25,13.8,0.023,9.3,120,1.7,0.25,0.5,TRUE,TRUE,TRUE,20537,LPDE,0.069083922,0.48661806,0.067551429,0.3402292,1.6304113999999998,0.016156891,0.0019894569,0.0058196038,0.13710028,4.5748886,65.013476,19.611634,0.18752473,11.448865,1.4735033
LEGUMINEUSES,Haricot mungo,null,95,397.48,72.5,7.54,11.9,02.01,0.55,0.038,6.4,0.018,7,53,1.75,0,1,TRUE,TRUE,TRUE,20530,LPDE,0.12155779,0.65819575,0.087359829,0.14698099,3.1724899,0.05087651,0.0082465184,0.028237419,0.1385313,2.7927825,74.888832,8.2570814,5.574774,11.718103,0.99896947
LEGUMINEUSES,Pois chiche cru,null,139,581.576,72.1,6.74,15,0.5,2.68,0.3,5.45,0.54,216,41.2,1.15,0,0.1,TRUE,TRUE,TRUE,20516,LPDE,0.12461998,0.79102138,0.12202983,0.16866053,4.2891363,0.036108474,0.0069832047,0.020179317,0.36906296,10.734932,146.63168,32.366369,1.0252489,13.628265,1.3751815
LEGUMINEUSES,Pois chiche cuit,null,147,615.048,72.1,6.74,15,0.5,2.68,0.3,5.45,0.54,216,41.2,1.15,0,0.1,TRUE,TRUE,TRUE,20507,Acier,0.1388967099999999,0.83436648,0.16451915,0.3145471,5.0537335,0.049275004,0.0075316118,0.022187396,0.43706652,10.924996,146.40449,38.755244,0.91324798,14.835143,1.9196734
LEGUMINEUSES,Lentille verte,null,127,531.368,64.8,10.1,16.2,0.2,0.58,0.093,8.45,0.015,5.8,39.5,2.45,0.25,0.5,TRUE,TRUE,TRUE,20587,Acier,0.0602002649999999,0.32914795,0.0709558149999999,0.23321956,1.7404475,0.020089024,0.0024495305,0.0079741746,0.18938712,4.554793399999999,62.74885,16.756637,0.41015039,7.911244,0.8719045599999999
LEGUMINEUSES,Lentille blonde,null,110,460.24,66.4,9.7,16.3,0.4,0.7,0.13,6,0.13,5,32,2.5,0.25,0.5,TRUE,TRUE,TRUE,20586,LPDE,0.05286747,0.30658286,0.0507520699999999,0.14798667,1.4054841,0.014284801,0.0021975195,0.0070795532,0.15870686,4.4695009,62.835036,13.89536,0.45236081,6.9145065,0.61796136
LEGUMINEUSES,Lentille corail,null,154,644.336,65.1,10.6,15,0.26,0.5,0.09,8.2,0.13,5,21,2.2,0.25,0.5,TRUE,TRUE,TRUE,20535,LPDE,0.05286747,0.30658286,0.0507520699999999,0.14798667,1.4054841,0.014284801,0.0021975195,0.0070795532,0.15870686,4.4695009,62.835036,13.89536,0.45236081,6.9145065,0.61796136
OEUFS,Jaune d'oeuf cru,20,307,1284.488,55,15.5,01.09,0.56,26.7,8.47,0,0.048,19.1,50.2,0.7,2,0,FALSE,TRUE,FALSE,22002,Carton,0.58748199,2.6433423,0.25590086,0.56570283,9.5505249,0.6593093099999999,0.093887782,0.40687553,0.80879438,18.671897,239.88804,121.69709,4.7620872,27.69924,4.2542828
OEUFS,Jaune d'oeuf cuit,20,307,1284.488,55,15.5,01.09,0.56,26.7,8.47,0,0.048,19.1,50.2,0.7,2,0,FALSE,TRUE,TRUE,22009,Carton,0.58748199,2.6433423,0.25590086,0.56570283,9.5505249,0.6593093099999999,0.093887782,0.40687553,0.80879438,18.671897,239.88804,121.69709,4.7620872,27.69924,4.2542828
OEUFS,Blanc d'oeuf cru,35,48.1,201.2504,87.6,10.8,0.85,0.71,0.19,0,0,0.42,166,6,0.05,0,0,FALSE,TRUE,FALSE,22001,Carton,0.5875637100000001,2.6436811,0.25592983999999996,0.56575931,9.5518227,0.65940517,0.093901686,0.40693607,0.80890136,18.67463,239.92296,121.71232,4.7627818,27.702274,4.2547996
OEUFS,Blanc d'oeuf cuit,35,48.1,201.2504,87.6,10.8,0.85,0.71,0.19,0,0,0.42,166,6,0.05,0,0,FALSE,TRUE,TRUE,22008,Carton,0.5875637100000001,2.6436811,0.25592983999999996,0.56575931,9.5518227,0.65940517,0.093901686,0.40693607,0.80890136,18.67463,239.92296,121.71232,4.7627818,27.702274,4.2547996
OEUFS,Oeuf cru,60,140,585.76,76.3,12.7,0.27,0.27,9.83,2.64,0,0.31,124,76.8,1.88,1.88,0,FALSE,TRUE,FALSE,22000,Carton,0.53172645,2.4091714,0.23581089,0.52774487,8.648772600000001,0.59434098,0.084453723,0.36580086,0.73416815,16.833401000000002,216.58214,110.862,4.2981356,25.615138,3.9039953999999994
